parameter,estimate,se,ci_lower,ci_upper
tvcl,0.12712092286095245,0.012713505708931422,0.10220290955420244,0.15203893616770245
tvvc,3.9517014066188416,0.15096095630018955,3.6558233691987447,4.247579444038939
tvq,0.051768358433441464,0.0057559941382262225,0.04048681722729438,0.06304989963958854
tvvp,6.678089098434971,1.598140923253729,3.5457904466380663,9.810387750231875
"Ω₁,₁",0.28487440729730307,0.06286062384201668,0.16166984852123029,0.40807896607337585
"Ω₂,₂",0.042771130530601324,0.00949417771476159,0.02416288414684578,0.06137937691435687
"Ω₃,₃",0.17193436514500474,0.053956234178653084,0.0661820894134354,0.2776866408765741
σ_add,0.019291286570990954,0.0029327450061855955,0.013543211983027478,0.02503936115895443
σ_prop,0.05321787544880325,0.0020110585248680883,0.04927627316925954,0.05715947772834696
