parameter,estimate,se,ci_lower,ci_upper
tvcl,0.17049180134367586,0.012468650933336597,0.14605369457853437,0.19492990810881736
tvvc,3.9516113014747773,0.15111140399839795,3.6554383919846347,4.2477842109649195
tvq,0.05158249861385033,0.005529345783862984,0.040745180019410465,0.06241981720829019
tvvp,6.637571430636445,1.5268925695762958,3.644916986005081,9.63022587526781
"Ω₁,₁",0.16179819887264288,0.04973234773898484,0.06432458843761042,0.25927180930767535
"Ω₂,₂",0.042771146494507355,0.009490988206489906,0.024169151432092705,0.061373141556922
"Ω₃,₃",0.17387232719783458,0.05382164647499872,0.06838383851818973,0.2793608158774794
σ_add,0.019295771483314076,0.002933639561521513,0.013545943599110023,0.02504559936751813
σ_prop,0.05320503746739858,0.0020046339735361315,0.04927602707708234,0.05713404785771482
