doselevel,parameters,extrema,geomean,geomeanCV,geostd,mean,numsamples,std
30,aucinf_obs,"(5600.0, 18000.0)",8048.468954624263,44.53535727572946,1.5301519150393432,8783.333333333334,6,4651.200561862138
30,cmax,"(140.0, 960.0)",324.80196576565214,77.82329396634896,1.9899959562954799,400.0,6,303.31501776206204
60,aucinf_obs,"(11000.0, 34000.0)",19047.255729785113,46.23706075914656,1.552962818788989,20666.666666666668,6,9244.81836850604
60,cmax,"(430.0, 830.0)",591.1771571993993,25.157664576360506,1.281110061160975,606.6666666666666,6,153.05772331596555
90,aucinf_obs,"(15000.0, 75000.0)",44110.069251089386,60.19568372456252,1.7438039741243276,48833.333333333336,6,19559.31150799196
90,cmax,"(600.0, 2200.0)",958.9886830046465,57.1927959081752,1.7022908687177105,1088.3333333333333,6,640.5752622968411
